episode,average_score
1,-144.7559003549676
51,-150.4524339248348
101,-141.06493429465635
151,-115.53299735806208
201,-78.79744600190864
251,-40.5139810143116
301,-6.135871956770676
351,22.446877382418858
401,24.38543535031512
451,-3.46249424560656
501,31.94044674262649
551,98.7764362555097
601,125.50250225901834
651,143.188142579699
701,141.93226498760816
751,116.1050375629641
801,121.42485266129376
851,149.17551217357743
901,154.4759037294684
951,125.51413750031946
1001,66.97461070573749
1051,-23.676226638084295
1101,-81.93738738411082
1151,4.362326216559109
1201,120.91577158483712
1251,120.49305359098936
1301,99.49468005824066
1351,115.62755625795366
1401,78.64982345404215
1451,72.5508163521848
1499,131.08906628983257
