episode,average_score
1,-373.3506894834563
51,-230.36104710941882
101,-196.7463562942631
151,-220.38554715798224
201,-134.89328363198928
251,-105.55008654038285
301,-69.86442143566842
351,26.08686320914715
401,-37.3095821533379
451,17.51219802040534
501,33.091229937302984
551,3.5495117549048767
601,-40.60864391001918
651,-18.35675139042248
701,-24.857169707026088
751,-58.05958237381495
801,-78.72072034705687
851,-84.6453063726532
901,-60.39833130174235
951,-66.06984678692443
1001,-77.14985845079427
1051,-11.837273851087925
1101,49.88118274681146
1151,24.232530067323324
1201,-24.95224866464455
1251,-84.59807211547282
1301,-83.45473476245357
1351,-103.66601372124616
1401,-88.82532258330104
1451,-75.36268610988024
1500,-64.47717628237905
