episode,score
1,-373.3506894834563
2,-168.10675618441326
3,-93.34624908871523
4,-104.17590630132149
5,-319.13550721392266
6,-282.0173694932501
7,-443.30425725960197
8,-115.73692229808444
9,-241.660514038716
10,-138.86474620993522
11,-153.42162836013605
12,-113.66351615595485
13,-430.3313878860645
14,-255.3772723753267
15,-360.81789173730357
16,-137.3453253163671
17,-373.03393241893696
18,-666.122196199558
19,-410.5796544328563
20,-127.51294958029285
21,-151.9256368732647
22,-266.42921647367467
23,-295.8814308847708
24,-285.5197965739876
25,-93.05051360514116
26,-260.28674223627684
27,-134.95041919043715
28,-102.82600596208808
29,-83.12251222328872
30,-503.77131397113686
31,-289.8570631217871
32,-237.17345588955902
33,-69.5701256146781
34,-298.694348090271
35,-235.33576019304
36,-364.0599939473275
37,-265.6015420861505
38,-300.9729023560277
39,-247.528205676486
40,-144.6044912207551
41,-51.57476364271207
42,-189.65748464269097
43,-423.44054755956824
44,-99.84015363276347
45,-497.46785675928453
46,21.429447331544452
47,-185.27767821906286
48,-52.19223045927103
49,-227.85068662139577
50,-146.27490788472372
51,-100.19003464010767
52,-438.09078284513174
53,-128.61594480526946
54,-122.676075255666
55,-76.03141189015665
56,-211.97623087905322
57,-455.5764339833129
58,-103.96898183466844
59,-48.819847116335254
60,-90.99371611434401
61,-362.1637425895753
62,-235.81433236688994
63,-93.81584723885226
64,-251.39439086215668
65,-71.48746780252341
66,-132.54571225574605
67,-294.53813672542236
68,-294.44677028105446
69,-322.13977444553717
70,-80.79278022724216
71,-108.76888326872917
72,-113.77115179418642
73,-224.18938045664405
74,-170.29360814423916
75,-53.11530924931248
76,-33.51210415247972
77,-66.92868060741323
78,-370.11296663860713
79,-185.53410555226134
80,-102.87391975243236
81,-473.7598100606569
82,-399.42000584338206
83,-369.95939334281144
84,-35.090799960730905
85,-466.6405560831606
86,-645.574444584839
87,-166.37855104979332
88,-141.05985947992062
89,-86.86616073169182
90,-153.68686803664121
91,-48.38944069409153
92,-67.8958431853228
93,-350.2218003659269
94,-237.92324468048864
95,-105.74478773513198
96,-427.3563567627888
97,-74.99956378685503
98,-75.95903316703735
99,-90.22501506193971
100,-100.00942957533876
101,-75.16836138936173
102,-272.5214494219789
103,-141.14328900028548
104,-63.59274763562396
105,-75.3780551089977
106,-113.95067380707502
107,-89.43693613324433
108,-281.1012988146621
109,-162.18290343249913
110,-109.91884111130638
111,19.415275915797906
112,-186.88452125950448
113,7.83718399667724
114,-296.68763353541857
115,-191.36286594561946
116,-96.04733891546464
117,-212.03054456733284
118,-275.9966904089445
119,-397.077398692417
120,-85.28232007631618
121,-57.55239954376022
122,-226.82083859466613
123,-161.958692954208
124,-150.82611120572318
125,-71.69709768200266
126,-87.72464355667464
127,-324.78522890116824
