episode,score
1,-147.65251434731005
2,-291.8138746386719
3,-81.44113477041047
4,-56.615627761856246
5,-356.17791542356605
6,-90.49941188323534
7,-107.25203695045357
8,-230.4417098592641
9,-87.31941337446999
10,-147.90183425348567
11,-160.25000100939263
12,-91.13267172520426
13,-414.9375671643896
14,-89.85415611593154
15,-337.6472669928839
16,-66.8787544353789
17,-57.18760211882596
18,-102.4022500173238
19,-198.0388468215281
20,-265.5902529960423
21,-154.43374409485787
22,-10.088341636126316
23,-81.94463959816326
24,-107.99491411401769
25,-342.8568384199089
26,-8.318620856363424
27,-61.97444303379991
28,-129.2076740747266
29,-157.8874694545491
30,-109.60851103525016
31,-445.4254522384024
32,-113.65451336432378
33,-217.10251301704517
34,-176.58774789581577
35,-175.06760882497696
36,-237.89120578635072
37,-143.083315083471
38,-119.6933664396066
39,-173.27322864667403
40,-88.1908590210117
41,-200.62316869805255
42,-54.03980998416999
43,-102.49802705340008
44,-96.50364814254559
45,-37.51479467811764
46,-126.04647590561055
47,-5.473505718369353
48,-3.208396145266093
49,-267.33857967435324
50,-107.42804443522094
51,-141.58935121519386
52,-78.43054931235898
53,-101.18812897924607
54,-101.62070270214076
55,-89.34273063580366
56,-159.9386122727701
57,-56.15888066273439
58,-255.09939459656078
59,-109.7348344970827
60,-114.45723978793893
61,-181.51227244432104
62,-53.45647297522899
63,-142.95717604635269
64,-138.63679899579137
65,-108.72676604828114
66,-85.25153205442298
67,-61.5183146719681
68,-69.52490327251645
69,-92.77153722232873
70,-109.23701941542197
71,-141.8917786502475
72,-51.536155159397104
73,-72.4660357114571
74,-23.370521689737203
75,-88.51692596771028
76,-63.101935896302514
77,-144.31702975771302
78,-89.26638198892998
79,-77.82867219098566
80,-261.46262738627183
81,-91.92654383900035
82,-100.93442411063872
83,-85.19306178692712
84,-84.6240444701566
85,-93.17730194382838
86,-157.3325307193838
87,-66.86221413908383
88,-121.24766685078112
89,-45.71165150996026
90,-100.27928875367796
91,-178.70835377439
92,-27.22738759862574
93,-89.22364648538003
94,-98.69312842632559
95,-36.89737011799704
96,-104.0795883015891
97,-97.37919500469415
98,-51.366045333184445
99,-9.241519663922926
100,-37.27551050575737
101,-17.080415084058217
102,-35.765476575654276
103,-55.76182292072095
104,-28.896831578388216
105,-67.75015675288634
106,-226.7965545679683
107,-105.47130389783239
108,-25.434413960922058
109,-29.287756771363107
110,-72.34086065662754
111,-118.6394833243701
112,-101.80134428624714
113,2.1053155911935164
114,-9.857079158039852
115,-65.7818302759174
116,-65.0243436391186
117,-41.427528515349366
118,-29.958556210859342
119,-45.180164159537455
120,47.01356326374884
121,-29.91720457576963
122,-64.53252502198482
123,-82.5066898561465
124,-41.11871881511274
125,-81.78171593244589
126,-41.948185098058815
127,42.614651592077365
128,-67.56781575931237
129,-133.03148121662394
130,15.143892345503378
131,-98.68247231202031
132,-191.46486491601684
133,-45.81480742406782
134,-11.779114930708005
135,-24.604310453811593
136,-81.10901129109651
137,-29.588799987494355
138,-34.454301442466004
139,-144.48183430729074
140,-52.13880423815475
141,-51.33685888761961
142,-35.97468316002933
143,51.912259993673814
144,2.5387683510073016
145,-143.41573745575437
146,8.391761906500165
147,-82.85145670632575
148,-17.22059004574831
149,22.130699967557447
150,23.263219557670197
151,-60.7911540440309
152,-22.591373273542178
153,43.91201465618079
154,-31.276639147566513
155,-281.04309454055124
156,-123.25382604973586
157,-361.0934183794773
158,-50.864075467391665
159,33.252943019227615
160,-6.247120766986839
161,7.559268375110861
162,-12.502508863904978
163,-81.07051199308584
164,80.58075747159322
165,-57.27386207578698
166,12.037462914152258
167,-32.13399875350758
168,-22.36600806599931
169,-70.38001366845376
170,-22.139340075319605
171,13.906227189491176
172,-203.21512625091046
173,-202.4252221890285
174,-329.9624311880684
175,21.90075719164591
176,-388.9833970728743
177,-15.423220168249166
178,34.71143709195482
179,17.658181394932384
180,-29.05369109920403
181,-97.41016089096628
182,40.84895835295939
183,-2.745341209452164
184,2.4548259100859866
185,11.138521186946207
186,-0.8685768042771684
187,47.988716747142064
188,-58.48202007663602
189,31.473607634402725
190,19.956958361136348
191,-80.99083550195708
192,17.89413800761596
193,-41.8954912990347
194,35.88330890831932
195,-220.2236914969431
196,45.98955725789449
197,-94.60957620374617
198,46.377222698629566
199,6.244254436463208
200,74.20577767348144
201,-75.54090314484952
202,-402.8125869540996
203,-152.0665998368704
204,-34.28285167802984
205,8.671267193680599
206,8.374275740297808
207,-52.178097230117686
208,-34.76021821585791
209,14.795380873575752
210,-25.518870212030638
211,-108.17034236392786
212,-14.743267067672491
213,11.81222410699327
214,58.48719126157138
215,80.78583639074661
216,46.0461050656033
217,-273.1660136007191
218,-15.075640561098401
219,86.02832785413078
220,-7.830209730891482
221,-122.40818773190522
222,48.1424024492494
223,27.50610723084786
224,-238.80774037486123
225,-22.714162977212272
226,21.70083698409846
227,70.75228216531941
228,63.21271124636878
229,179.73400658467145
230,24.79553195153376
231,-60.167684847858894
232,44.09183724353103
233,74.89981294180868
234,80.05511972251475
235,-75.47343726958651
236,49.43871890304195
237,-13.881716540675711
238,-23.00740726022019
239,92.40671256580907
240,-19.510382734478533
241,240.68768100733678
242,-22.026280149882197
243,87.6084605117392
244,-9.352388464903285
245,119.4295449164939
246,47.12744768056348
247,127.51041697027527
248,39.59666827448818
249,-68.31694345956583
250,-28.08052265358532
251,107.20348273926987
252,-124.57952721461587
253,-11.269246442488324
254,-40.664985114173916
255,-201.55723399308334
256,89.57685953412067
257,207.44680009964844
258,4.102647420646434
259,-87.9695141846252
260,-26.335956698104326
261,-362.80319341355164
262,-140.51471951682194
263,-56.357675798498036
264,218.42197571280423
265,-174.45747701499755
266,116.63311615667318
267,-125.80650770518919
268,-145.44350527631303
269,-12.755993212729834
270,-115.6315694046289
271,84.47387922198592
272,-82.74814173523653
273,-162.85544080973
274,-97.82127330519243
275,-556.4639845274381
276,188.3209750381721
277,-354.29296385308373
278,-238.68185625243373
279,64.53591191802748
280,-100.6820820766451
281,163.71435482187078
282,-20.36614497524093
283,-22.885288876195702
284,-120.23217301850156
285,83.431490299829
286,-40.49567129187869
287,117.64079280359752
288,21.132912435446443
289,-65.03897446301372
290,-37.87553855536407
291,-119.62926094972272
292,80.90075233811821
293,-141.33722929283076
294,-203.91293787885456
295,-61.05903618462939
296,105.56251586934609
297,210.6615362676862
298,123.52860299417851
299,145.05190501374744
300,85.55269782663125
301,-87.81247234977022
302,213.62551843833728
303,210.7505271202242
304,-111.53799683575959
305,90.43763931385669
306,206.6846089045975
307,103.40257094354078
308,157.10373927598272
309,-82.82815386241566
310,-346.6462074311844
311,84.05604575576322
312,248.55809424452397
313,177.20586145164273
314,-180.24074741674468
315,99.91228933018523
316,-10.962741283641918
317,82.48290215755453
318,122.85697305499234
319,-278.18967108854497
320,225.63438073455322
321,-37.17013300600398
322,89.70345691725943
323,-72.62902436024626
324,10.473005879257808
325,234.29052043111236
326,208.29771818366225
327,176.39134515921666
328,142.9397599214297
329,79.23820057666326
330,62.67142525444676
331,58.57897712787044
332,212.49937294149782
333,121.16334591765117
334,273.21294367955863
335,81.35656628116433
336,183.75330004232706
337,-33.38128514943199
338,-183.04620635278235
339,50.19230689974036
