episode,average_score
1,-128.41001157019016
51,-176.1483717444619
101,-148.65534299689486
151,-96.25977762779667
201,-67.70913841221869
251,-33.64334281042824
301,21.255806056759877
351,49.17465253693852
401,68.44806408409299
451,75.3266218332913
501,77.92588527785165
551,111.7508377732759
601,134.8646678018359
651,131.99153296640242
701,102.2198139405634
751,94.5419376053579
801,154.1407398299252
851,196.00459581735223
901,201.38909497221258
951,189.75237479429444
1001,184.93032336035552
1051,208.44336954059
1101,244.41606012480563
1151,268.9596770175989
1201,253.81077386859505
1251,237.50717233063057
1301,200.42141127727808
1351,187.5552665561952
1401,179.00566674654863
1451,150.69571186927715
1500,162.39103523205003
