episode,average_score
1,-374.92537921000985
51,-187.37316131889804
101,-114.83256810890965
151,-157.36004957872444
201,-147.07118924957626
251,-138.44798665606493
301,-173.6619365289145
351,-204.38533169556874
401,-108.51247793936486
451,-112.92287158930414
501,-111.0334251969541
551,-117.5172054271743
601,-81.09617196918893
651,-67.6094166071362
701,-72.17072716687836
751,-60.583607691209444
801,61.99722012479437
851,141.59221315380833
901,86.3736823227747
951,51.06132634983111
1001,104.67030844576175
1051,150.51180336815386
1101,124.53168056711192
1151,160.26180144988643
1201,145.98323698705238
1251,197.60675770417086
1301,206.76403469472433
1351,170.2755348368676
1401,238.90283695637314
1451,245.40146446260914
1500,189.41036229259646
