episode,score
1,-374.92537921000985
2,-125.17611689815307
3,-37.28781407886592
4,-743.3512424370116
5,-742.5447536239277
6,-151.25198747989418
7,-133.31652008729577
8,-215.81411783189012
9,-137.5863958379004
10,-161.1196125780092
11,-139.4764458792372
12,26.859953955718254
13,-179.82273313953047
14,-283.23409779099364
15,-191.8318825257658
16,-184.86119266797942
17,-92.34855443886606
18,-207.34073871009812
19,-410.9284689039645
20,-67.3205195102518
21,-123.12819026992403
22,-123.16850175782555
23,-157.04861499880275
24,-137.8999177945783
25,-153.48048601600422
26,-270.00345075553724
27,-183.64069217537082
28,-168.0061918202478
29,-189.90712242358563
30,-210.90081729211482
31,-139.75025659886154
32,-181.0091601005521
33,-121.82280601859851
34,-141.396483059155
35,-198.4127081361235
36,-105.68075553572507
37,-231.6813798941947
38,-500.45155649633637
39,-214.2565233895416
40,-85.58364419245902
41,-87.28174594740116
42,-125.24294249575004
43,-154.17268639461338
44,-129.5574776413871
45,-96.35491288537051
46,-91.97416660683302
47,-201.59440751508868
48,-138.77047502260163
49,-180.04078882052224
50,-151.76074679326973
51,-196.92521663260953
52,-153.3658071856557
53,-175.6379301521966
54,-325.5083859738618
55,110.85877535622126
56,-163.34945025977066
57,-119.93614585974004
58,-255.67937161934688
59,-141.771884552122
60,-140.03875194744631
61,-62.42572964128915
62,-84.39146432889004
63,-121.52195728163477
64,-181.64683131398294
65,-133.70029788389368
66,-69.10255606939349
67,-123.80793619684484
68,-18.374664952386276
69,-114.64708680356263
70,-106.59023681959893
71,-110.6825834587285
72,-134.63764861994153
73,-138.7149820588407
74,-128.87170893062105
75,-121.31832247724714
76,-90.17139562360425
77,-173.8611929742245
78,-148.71114534490044
79,-15.194147167370812
80,-43.26703332802799
81,-46.4002972816154
82,-101.24557217291316
83,-119.69355839755495
84,-221.23457369633002
85,-46.701420693842586
86,197.4011781477244
87,-155.9602348135316
88,-190.66585662172633
89,116.92307509672418
90,-470.7009103553551
91,-53.78875708819577
92,-102.03844081185396
93,-225.36706007619597
94,-110.55611668465785
95,-108.65988250182328
96,-108.2362385171537
97,-121.35705515999831
98,-27.990554683316404
99,-125.03539956229191
100,-79.17379605137157
101,-155.07906005130036
102,-201.187605492681
103,-149.9294951239715
104,-208.29084627010957
105,-136.724847567117
106,-153.14917944476636
107,-104.33753132003476
108,-103.70266356181389
109,-98.93420985720387
110,-143.748225896833
111,-129.64611773289866
112,-120.91600929309563
113,-103.59680853593181
114,-112.27748425174019
115,-139.21458731893452
116,-228.5808056439685
117,-218.26309133684953
118,-153.82805787079963
119,-163.46547296983982
120,-129.0597319288064
121,-96.47711174237267
122,-125.43195905772441
123,-109.70130614513994
124,-269.383996747955
125,-208.61267522158607
126,-244.48669049285976
127,-145.69993927121465
128,-188.6810166485133
129,-220.94557500483035
130,-137.61199140274883
131,-91.21494122463795
132,-160.85218461877324
133,-153.14347373603528
134,-149.59420529161986
135,-159.4608875765972
136,-148.67336144645733
137,-142.5881888487848
138,-139.46894070005
139,-100.09567908814837
140,-121.91812105921797
141,-137.57486390222047
142,-134.52930113040443
143,-126.72164033358393
144,-235.03270381720972
145,-119.69085080804325
146,-120.8004803852953
147,-179.4905188080875
148,-277.91503682488496
149,-279.64070064648956
150,-198.43954958805185
151,-145.2718159492901
152,-239.35636567278476
153,-134.33335769133285
154,-189.78602469400892
155,-160.8041628688417
156,-160.37891030343948
157,-155.56707980352718
158,-160.92251163943723
159,-171.18750030311293
160,-207.38996280349596
161,-138.0967029631347
162,-161.37300875524255
163,-126.48223894993112
164,-133.4852868281377
165,-153.61412308635713
166,-118.62923157573579
167,-129.64048046199912
168,-160.908546762931
169,-128.6968527855822
170,-233.4009571408977
171,-259.5514255267502
172,-208.56734523040058
173,-153.0133882542821
174,-142.27405068875538
175,-126.75773253692645
176,-276.39106901218656
177,-131.74648276355788
178,-118.79755013362909
179,-178.6416707630148
180,-117.79033127998281
181,-104.84820828259018
182,-140.43887016197257
183,-147.72442715789634
184,-133.1155233425012
185,-133.7627644021359
186,-128.58809731586342
187,-93.52810302907578
188,-156.65680641806458
189,-119.00201342428039
190,-132.19440059969446
191,-94.94028621244135
192,-96.41767900257122
193,-156.45378844360042
194,-149.5014523926243
195,-44.57266291646431
196,-145.68048966479154
197,-60.02577436919808
198,-176.1215189094443
199,-114.69678077149503
200,-105.46782994769474
201,-142.23763443499786
202,-148.2866133787108
203,-120.78502857135028
204,-66.65159221685458
205,-122.97981854289978
206,-130.26929540364821
207,-67.90866059524126
208,-126.56896400844082
