episode,average_score
1,-60.37856564371842
51,-251.2377140006148
101,-195.3645208514736
151,-210.07153394226458
201,-339.8705559192669
251,-174.2665716951386
301,-201.4007458678634
351,-195.94610833315932
401,-194.11347271555857
451,-151.96433475484613
501,-138.74794551423443
551,-139.11663664574698
601,-160.4058877763925
651,-157.78625641454406
701,-214.50819758452081
751,-201.43921975340615
801,-177.97061763153243
851,-143.5601433123385
901,-159.2335634974038
951,-126.16811644228015
1001,-219.1238886993133
1051,-144.48166077369154
1101,-110.79726012417214
1151,-78.10533676421608
1201,-39.67214938618386
1251,-78.41548195106503
1301,35.669996872789795
1351,180.03744807582163
1401,63.5394332748842
1451,-18.546806952292126
1500,114.96585942836424
