episode,score
1,-60.37856564371842
2,-337.3245412358779
3,-399.4295445848391
4,-608.1190565007591
5,-463.39433254280715
6,-302.0201090023111
7,-141.00092535044305
8,-243.67499997203353
9,-235.55010952762197
10,-256.73806000492846
11,-348.2535576784339
12,-410.94762961051
13,-430.5089429582086
14,-366.2770437598108
15,-338.6960767849621
16,3.858432324055954
17,-79.33972923574545
18,-114.36985293124022
19,-167.40746135768654
20,-136.71294616364233
21,-219.19248433536666
22,-324.85688151080984
23,-314.2896739929769
24,-158.6517056829507
25,-145.98345414118296
26,-388.3264884053024
27,-355.3333237659278
28,-187.14251185395602
29,-138.55900100496473
30,-183.1229995819823
31,-180.432357874017
32,-166.0737760657923
33,-421.5980490851875
34,-394.41148543884077
35,-316.91138404992967
36,-129.48041039678952
37,-141.6496101011969
38,-184.8455768520791
39,-212.4986344455134
40,-153.33723946237717
41,-291.71756342498225
42,-179.56148278386917
43,-182.64541695612627
44,-34.63478183081534
45,-329.27094809248774
46,-105.21408868880643
47,-105.85990820281276
48,14.316306031137245
49,-84.66606512743707
50,-848.4599575586908
51,-321.56825847090033
52,-135.26949642889832
53,-122.6720760589421
54,-101.01086872409962
55,-2.154456674036055
56,-407.7932445773641
57,-172.00693566998638
58,-355.02632040997054
59,-27.34976635880851
60,-117.15323538281936
61,-138.8580033753616
62,-114.55031371688338
63,-92.2145394237034
64,-171.2344735077917
65,4.521482665110881
66,-16.830863331395022
67,-240.75424035065825
68,-266.19845868390235
69,-284.5173492044402
70,-30.6006590093629
71,-73.90684379111056
72,-488.00096806815804
73,-124.65294042758015
74,-345.6413422956647
75,-40.97855273012611
76,-222.14848387241932
77,-215.4384373251474
78,-85.7241586091208
79,-129.45222178858398
80,-104.23551304128769
81,-74.54316341953772
82,25.196796659156476
83,-225.95875785424892
84,-542.0297272100285
85,-315.86191079796544
86,-175.04829426780026
87,-326.2268399089914
88,-275.33442631502066
89,-348.2764362936855
90,-200.1674683634796
91,-120.86873120718462
92,-194.28702507595202
93,-113.43273682824226
94,-262.77528018458395
95,-398.8881397715883
96,-437.53737502361764
97,-301.05429134929227
98,-315.95295032084397
99,-140.7627511583529
100,-152.97024455703246
101,-249.5930091528775
102,-221.38236766572746
103,-177.32824835718873
104,-234.98493716445262
105,-271.38219162484563
106,-286.1342683919427
107,-160.61418200489604
108,-310.80906059921756
109,-226.7780080092029
110,-237.52842895639196
111,-193.1162256758376
112,-227.6207075092561
113,-269.8301343399137
114,-81.70490083855238
115,-53.47513367847648
116,-249.44906561168216
117,-195.75281113717543
118,-202.0941367053328
119,-245.22639360857744
120,-190.8219428849102
121,-208.0977883766201
122,-264.6213983380204
123,-439.84885708687744
124,-151.14456329825154
125,-42.54845067905569
126,-155.32288500857695
127,-185.11884024871384
128,-187.59749054057383
129,262.6767001640729
130,-134.41814576039633
131,-121.83447322417524
132,-223.95435092252683
133,-172.64961913889613
134,-235.05455981502658
135,-146.8759408594114
136,-266.97508752712565
137,-366.13764071567044
138,-317.2627691086899
139,-386.97849578819176
140,-113.44317559806728
141,-145.35956897718316
142,-162.68338626512752
143,-90.49506271434443
144,-190.78570218657418
145,-215.52022032829666
146,-236.66053967761272
147,-231.42984596390517
148,-354.6072927331913
149,-323.8127489492332
150,-352.03755761795475
151,-306.94379506543237
152,-359.4588632407659
153,-345.4173824442994
154,-233.99116377691715
155,-269.4278097862493
156,-255.32346672049266
157,-180.45294746377823
158,-296.49150594751416
159,-303.82719813583725
160,-189.00415534877305
161,-251.99671171781432
162,-347.97607488205716
163,-281.9937652793609
164,-240.92199447264287
165,-284.8076887359289
166,-236.1289038943762
167,-260.30924388414024
168,-220.00230997022217
169,-172.02443111643737
170,-248.7379420883671
171,-210.7521006592022
172,-311.29745502590004
173,-539.8031973583863
174,-765.3676936303222
175,-524.080378760952
176,-524.0132324035949
177,-961.2366131332843
178,-758.37503401691
179,-223.07237518997
180,-221.8167073797657
181,-592.4718519605624
182,-511.58054942181036
183,-492.2736550288149
184,-164.31000971339677
185,-215.461329047844
186,-232.68260968532292
187,-327.0790068616643
188,-796.1612421535592
189,-766.8878440475142
190,6.033719214933868
191,-375.5135772144781
192,-355.3167208052533
193,-249.43489793033717
194,-279.43898236927737
195,-292.88461281922446
196,-224.30116916721204
197,-245.3710649051969
198,-223.95935641534302
199,-247.22306004833163
200,-141.5821779237788
201,-247.51945119509713
202,-251.61216819916882
203,-244.11271074728555
204,-197.95177159028282
205,-236.8849364410339
