episode,average_score
1,-120.39116875386077
51,-203.36072740446244
101,-162.29991804702757
151,-95.95472657737817
201,-85.46372104415704
251,-77.93952724780934
301,9.548626165196382
351,96.49495474849624
401,44.19038370148399
451,88.35182573005726
501,89.22945724541835
551,-70.95732949269883
601,-130.3785836509458
651,-92.74063014553938
701,-80.71951501687694
751,-24.011306297179875
801,-81.05841419449054
851,-138.0873452015732
901,64.23837298205775
951,-63.51478300700984
1001,-96.0712862731917
1051,-116.62728748625618
1101,-44.69379991342284
1151,-26.66782736737967
1201,-31.844834801623747
1251,134.9519373691654
1301,216.88317258669773
1351,233.631635801951
1401,252.0922211807708
1451,256.8225149516399
1500,239.14930304586483
