episode,score
1,-120.39116875386077
2,9.880559564129442
3,-106.05899480962404
4,-9.700305600143906
5,-92.02244880061707
6,-123.51783458301546
7,-94.11715964445567
8,-288.66714278309615
9,-85.58325071534296
10,-285.85614738221057
11,-92.3141359975822
12,-285.4375286486374
13,-67.1906538884886
14,-114.19659852002178
15,-195.92314329955803
16,-158.59530595339427
17,-348.8065604323454
18,-149.19454073489356
19,-314.94878999725904
20,-297.4880936262796
21,-367.24555566867775
22,-382.00566576823525
23,-179.27276797823822
24,-82.21075066648054
25,-355.9423529968346
26,-284.6651303162042
27,-109.47560496495782
28,-195.6530378093111
29,24.409812772426193
30,-83.22590214795929
31,-69.47158196584172
32,-433.02455408320884
33,-608.0542728825858
34,-74.4000937877044
35,-236.10027521543242
36,-409.6312040875853
37,-107.37524060791671
38,-88.47376162461609
39,-458.8789118458781
40,-95.61463272277301
41,-365.79023834805446
42,-351.18758450549535
43,-111.77446077598017
44,-112.94460129250055
45,-39.740948872096226
46,-234.78222572415356
47,-268.9622821136465
48,-297.5218157097744
49,-248.53650862056136
50,-263.52878247764363
51,-177.21736156236472
52,-258.97842878700493
53,-263.8529531576166
54,-145.80334924999528
55,-281.00934946402026
56,-207.01179330266456
57,-87.1346907455757
58,-137.05614934322773
59,-99.47348728251313
60,-163.35689892943188
61,-240.05136049647808
62,-73.95392148181172
63,-92.46327032037279
64,-81.05120021242195
65,-226.2177222186617
66,-163.32173717297496
67,-103.29105423669101
68,-152.96690525973352
69,-188.34323209541967
70,-20.852134323513184
71,-398.0620762175605
72,-141.5770403151168
73,-145.80815934919912
74,-15.166184177693381
75,-68.2425908398339
76,-145.49964105806603
77,-23.60301635486563
78,-147.50163071764766
79,-174.89351246972547
80,-113.26869402125384
81,-162.70481891439252
82,-141.58816898081162
83,-104.29045524877476
84,-64.28764616343184
85,-416.25287858364595
86,-298.8516964542099
87,-236.13630152852153
88,-172.8762437457495
89,-170.8549458379068
90,-31.542378266084043
91,-150.5260839422382
92,-171.93432142007305
93,-204.30027310291098
94,-78.51819817038604
95,-6.464630728038827
96,-171.1807659304983
97,-268.99920791229385
98,-292.2359206928732
99,-223.40483249352994
100,-202.01842079590938
101,-186.21552983800728
102,-54.17048295157579
103,-79.17304786488367
104,-128.0920688292975
105,-95.07574008110609
106,-204.51792204487555
107,-94.71405336325921
108,-190.80806067095673
109,-110.98466322156334
110,-130.28190801798857
111,-129.19855329790985
112,-98.16813434553197
113,-126.91203451613137
114,-110.19484283669613
115,-97.36563915949313
116,-195.28064829815017
117,-225.6113711795547
118,-143.39846580085833
119,-36.220913090441336
120,-55.610988665462
121,-116.55909103009111
122,-139.17742302984328
123,-9.689797875280425
124,-37.660526474007185
125,-139.04671254564306
126,-58.14026390081645
127,-59.03213875416539
128,-180.91856359906916
129,-111.57402696231085
130,9.162522592987344
131,-104.94902089349593
132,-44.716816396190296
133,-75.1224492300143
134,-67.2469286247242
135,-35.48537743013475
136,-64.46558797694158
137,-163.24004460930104
138,-75.12953910628667
139,-60.10607921591561
140,-110.25658388137032
